batter,sum,count,strike_rate,batting_tips
0,280,196,142.85714285714286,Good form
1,634,505,125.54455445544555,Good form
2,4,7,57.14285714285714,Improve strike rotation
3,53,75,70.66666666666667,Improve strike rotation
4,25,20,125.0,Good form
5,4,5,80.0,Improve strike rotation
6,62,57,108.77192982456141,Good form
7,2,2,100.0,Good form
8,35,49,71.42857142857143,Improve strike rotation
9,231,181,127.62430939226519,Good form
10,381,440,86.5909090909091,Improve strike rotation
11,34,26,130.76923076923077,Good form
12,19,23,82.6086956521739,Improve strike rotation
13,41,63,65.07936507936508,Improve strike rotation
14,49,51,96.07843137254902,Improve strike rotation
15,163,109,149.54128440366972,Good form
16,2,10,20.0,Improve strike rotation
17,974,781,124.71190781049937,Good form
18,4,8,50.0,Improve strike rotation
19,4,7,57.14285714285714,Improve strike rotation
20,15,25,60.0,Improve strike rotation
21,69,88,78.4090909090909,Improve strike rotation
22,12,11,109.09090909090908,Good form
23,217,218,99.54128440366972,Improve strike rotation
24,9,8,112.5,Good form
25,9,12,75.0,Improve strike rotation
26,179,160,111.87499999999999,Good form
27,42,43,97.67441860465115,Improve strike rotation
28,26,50,52.0,Improve strike rotation
29,123,103,119.41747572815532,Good form
30,5181,3487,148.58044164037855,Good form
31,120,91,131.86813186813185,Good form
32,2069,1555,133.05466237942122,Good form
33,20,19,105.26315789473684,Good form
34,181,143,126.57342657342659,Good form
35,148,119,124.36974789915966,Good form
36,79,79,100.0,Good form
37,724,599,120.86811352253757,Good form
38,90,99,90.9090909090909,Improve strike rotation
39,2488,1515,164.22442244224422,Good form
40,23,31,74.19354838709677,Improve strike rotation
41,10,14,71.42857142857143,Improve strike rotation
42,49,61,80.32786885245902,Improve strike rotation
43,2092,1696,123.34905660377358,Good form
44,16,11,145.45454545454547,Good form
45,24,31,77.41935483870968,Improve strike rotation
46,91,79,115.18987341772151,Good form
47,995,787,126.4294790343075,Good form
48,401,367,109.26430517711172,Good form
49,672,588,114.28571428571428,Good form
50,4642,3858,120.32141005702437,Good form
51,36,27,133.33333333333331,Good form
52,7,8,87.5,Improve strike rotation
53,34,23,147.82608695652172,Good form
54,87,77,112.98701298701299,Good form
55,339,285,118.94736842105263,Good form
56,12,12,100.0,Good form
57,1653,1318,125.41729893778452,Good form
58,27,32,84.375,Improve strike rotation
59,26,41,63.41463414634146,Improve strike rotation
60,194,172,112.79069767441861,Good form
61,26,24,108.33333333333333,Good form
62,49,40,122.50000000000001,Good form
63,32,29,110.34482758620689,Good form
64,4348,3490,124.58452722063038,Good form
65,22,17,129.41176470588235,Good form
66,39,26,150.0,Good form
67,1,1,100.0,Good form
68,579,408,141.91176470588235,Good form
69,0,2,0.0,Improve strike rotation
70,1377,925,148.86486486486484,Good form
71,360,244,147.54098360655738,Good form
72,19,12,158.33333333333331,Good form
73,4,5,80.0,Improve strike rotation
74,115,109,105.50458715596329,Good form
75,63,69,91.30434782608695,Improve strike rotation
76,87,69,126.08695652173914,Good form
77,7,9,77.77777777777779,Improve strike rotation
78,139,117,118.80341880341881,Good form
