batter,sum,count,strike_rate
0,280,196,142.85714285714286
1,634,505,125.54455445544555
2,4,7,57.14285714285714
3,53,75,70.66666666666667
4,25,20,125.0
5,4,5,80.0
6,62,57,108.77192982456141
7,2,2,100.0
8,35,49,71.42857142857143
9,231,181,127.62430939226519
10,381,440,86.5909090909091
11,34,26,130.76923076923077
12,19,23,82.6086956521739
13,41,63,65.07936507936508
14,49,51,96.07843137254902
15,163,109,149.54128440366972
16,2,10,20.0
17,974,781,124.71190781049937
18,4,8,50.0
19,4,7,57.14285714285714
20,15,25,60.0
21,69,88,78.4090909090909
22,12,11,109.09090909090908
23,217,218,99.54128440366972
24,9,8,112.5
25,9,12,75.0
26,179,160,111.87499999999999
27,42,43,97.67441860465115
28,26,50,52.0
29,123,103,119.41747572815532
30,5181,3487,148.58044164037855
31,120,91,131.86813186813185
32,2069,1555,133.05466237942122
33,20,19,105.26315789473684
34,181,143,126.57342657342659
35,148,119,124.36974789915966
36,79,79,100.0
37,724,599,120.86811352253757
38,90,99,90.9090909090909
39,2488,1515,164.22442244224422
40,23,31,74.19354838709677
41,10,14,71.42857142857143
42,49,61,80.32786885245902
43,2092,1696,123.34905660377358
44,16,11,145.45454545454547
45,24,31,77.41935483870968
46,91,79,115.18987341772151
47,995,787,126.4294790343075
48,401,367,109.26430517711172
49,672,588,114.28571428571428
50,4642,3858,120.32141005702437
51,36,27,133.33333333333331
52,7,8,87.5
53,34,23,147.82608695652172
54,87,77,112.98701298701299
55,339,285,118.94736842105263
56,12,12,100.0
57,1653,1318,125.41729893778452
58,27,32,84.375
59,26,41,63.41463414634146
60,194,172,112.79069767441861
61,26,24,108.33333333333333
62,49,40,122.50000000000001
63,32,29,110.34482758620689
64,4348,3490,124.58452722063038
65,22,17,129.41176470588235
66,39,26,150.0
67,1,1,100.0
68,579,408,141.91176470588235
69,0,2,0.0
70,1377,925,148.86486486486484
71,360,244,147.54098360655738
72,19,12,158.33333333333331
73,4,5,80.0
74,115,109,105.50458715596329
75,63,69,91.30434782608695
76,87,69,126.08695652173914
77,7,9,77.77777777777779
78,139,117,118.80341880341881
79,318,276,115.21739130434783
80,36,47,76.59574468085107
81,13,9,144.44444444444443
82,96,67,143.28358208955223
83,5,4,125.0
84,29,42,69.04761904761905
85,189,118,160.16949152542372
86,247,177,139.54802259887003
87,41,25,164.0
88,388,311,124.7588424437299
89,42,34,123.52941176470588
90,76,57,133.33333333333331
91,280,256,109.375
92,21,31,67.74193548387096
93,306,338,90.53254437869822
94,5,13,38.46153846153847
95,124,102,121.56862745098039
96,1034,770,134.28571428571428
97,5,2,250.0
98,35,38,92.10526315789474
99,6,7,85.71428571428571
100,935,718,130.22284122562675
101,3,6,50.0
102,2882,2272,126.84859154929578
103,125,116,107.75862068965519
104,10,14,71.42857142857143
105,238,146,163.013698630137
106,1,3,33.33333333333333
107,18,11,163.63636363636365
108,1400,1153,121.42237640936686
109,193,146,132.1917808219178
110,23,27,85.18518518518519
111,40,36,111.11111111111111
112,2,5,40.0
113,32,37,86.48648648648648
114,187,124,150.80645161290323
115,707,472,149.78813559322032
116,15,21,71.42857142857143
117,177,144,122.91666666666667
118,0,1,0.0
119,20,31,64.51612903225806
120,303,229,132.31441048034935
121,205,183,112.02185792349727
122,1329,974,136.4476386036961
123,390,403,96.7741935483871
124,4997,3516,142.1217292377702
125,618,413,149.636803874092
126,538,436,123.39449541284404
127,98,119,82.35294117647058
128,81,81,100.0
129,8,15,53.333333333333336
130,16,24,66.66666666666666
131,8,9,88.88888888888889
132,971,774,125.45219638242895
133,169,158,106.9620253164557
134,181,120,150.83333333333334
135,78,77,101.29870129870129
136,4,3,133.33333333333331
137,25,49,51.02040816326531
138,230,176,130.6818181818182
139,8,11,72.72727272727273
140,3,8,37.5
141,1559,1323,117.83824640967498
142,44,28,157.14285714285714
143,33,24,137.5
144,148,105,140.95238095238096
145,10,13,76.92307692307693
146,2924,2171,134.68447719944726
